name	id	primary_date	secondary_dates	death	info_pieces	spelling_variants	attributes
Almerii Amantii, Maurilii et Almerii (	249	16/Mai	NA	NA	NA	NA	sancti,sancte	
Almiri	250	11/September	NA	NA	NA	NA	presbyteri$confessoris	
Alnoti (Egelnoti, Aedelnodi) Cantuarien	251	30/October	14/Februar$29/October	1038	[Canterbury] A. S. (G.:  October 29 ) .	Achelnoti ep.$Aedelnodi$Egelnoti	episcopi,episcoporum	
Alnoti	252	25/November	14/Februar	NA	NA	Achelnoti ep.$Aedelnodi$Egelnoti	solitarii	
Alodii Autissiodoren	253	28/September	NA	NA	NA	NA	episcopi,episcoporum	
Aloisii Rabata ord. Carmel	254	11/Mai	NA	ca. 1490	[Sicilien] A. S.	NA	confessoris$beati,beate	
Aloisii Gonzaga	255	21/Juni	NA	1591	[Jesuiten] A. S.	NA	confessoris	
Alori Corisopiten	256	26/October	NA	NA	NA	NA	episcopi,episcoporum	
Alpaidis	257	3/November	NA	1211; can. 1874	[Sens] A. S.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$beati,beate	
Alperti	258	5/September	NA	NA	NA	NA	presbyteri$martiris,martirum	
